0,9 liter	quart
acceptor impurities	takmurnian akseptor
acceptor ionization energy	tenaga pengionan akseptor
acceptor level	aras penerima
acceptor material	bahan akseptor
access	mengakses
accessary	[yang turut] bersekongkol
accessary after the fact	pembantu pelaksana kejahatan
accessary before the fact	yang tidak hadir waktu kejahatan
access-door	pintu masuk
access duct	saluran jalan masuk
accessed	mengakses
access gallery	beranda penghubung
accessibility	keadaan dapat masuk
accessible	dapat diakses
accessible state	keadaan teraih
accessing	mengakses
access method	metode akses
access of time	waktu pelaksanaan
accessoiles	alat-alat-bantu
accessories	asesoris
accessory	aksesori
accessory plate	lempeng pelengkap
access road	jalan sambungan
accidence	morfologi
accident	kecelakaan
accidental	kebetulan
accidental error	kompensasi kesalahan
accidentally	secara kebetulan
accident benefit	pembayaran dana kecelakaan
accident insurance	asuransi kecelakaan
accidentprone	selalu mengalami kecelakaan
accident prone	mudah celaka
accident proof	kebal celaka
accident statistics	statistik kecelakaan
acclaim	bertepuk-tangan
acclaimed	bertepuk-tangan
acclaiming	bertepuk-tangan
acclamation	aklamasi
acclimate	menyesuaikan diri terhadap iklim
acclimated	menyesuaikan dengan iklim
acclimating	menyesuaikan diri terhadap iklim
acclimatization	penyesuaian diri
acclimatize	menyesuaikan pada iklim
acclimatized	menyesuaikan pada iklim
acclimatizing	membiasakan pada iklim
accolade	penghargaan
accommodate	mengakomodasi
accommodated	mengakomodasi
accommodated to	menyesuaikan . dengan
accommodated with	memperlengkapi dengan
accommodate with	memperlengkapi dengan
accommodating	mengakomodasi
accommodating with	memperlengkapi dengan
accommodation	pemondokan
accommodation bill	cek mundur
accommodation charge	biaya persandaran
accommodation fee	biaya akomodasi
accommodation train	kereta api lambat
accomodate	menampung
accomodated	menampung
accomodating	menampung
accomodation	akomodasi
accomodation coefficient	koefisien akomodasi
accomodation fee	beaya penginapan
accomodation for the lodging	pemondokan
accomodation for the night	penginapan
accomodation of eye	akomodasi mata
accomodation-power	daya suai
accompanied	menemani
accompanies	menemani
accompaniment	teman
accompanist	pengiring
accompany	menemani
accompanying	menemani
accomplice	kaki tangan
accomplish	memenuhi
accomplished	memenuhi
accomplished fact	kejadian yang tak bisa dihindari
accomplisher	pelaksana
accomplishing	memenuhi
accomplishment	pemenuhan
accomplish of the writ	menyampaikan surat juru sita
accord	menyetujui
accordance	persetujuan
accord and satisfaction	pembebasan dari kewajiban melalui kesepakatan bers
accorded	menyetujui
according	menurut
according as	sekedar
accordingly	maka
according to	menurut
according to one's lights	menurut kecakapannya
according to the jurisdiction	menurut keadilan
according to the law	secara hukum
according to the laws of	berdasarkan undang-undang
according to the necesity	menurut keperluan
accordion	akordeon
accordionist	pemain akordion
accord with	sesuai dengan
accost	menyapa
accosted	menyapa
accosting	menyapa
account	rekening/tg-jawab
accountability	tanggung-jawab
accountability center	pusat tanggung jawab
accountable	dapat dipertanggungjawabkan
accountabled for	bertanggung jawab untuk
accountable for	bertanggung jawab untuk
accountabling for	mempertanggung-jawabkan
accountancies	akuntansi
accountancy	akuntansi
accountant	akuntan
accountant rules	kode etik akuntan
account book	buku akun
account consolidated	rekening gabungan
account current	rekening koran
account day	hari penyelesaian
accounted	membukukan
accounted for	membukukan
account executive	eksekutif akun
account for	meliputi
account form	bentuk perkiraan
accounting	akuntansi
accounting assumption	asumsi akuntansi
accounting control	pengendalian akuntansi
accounting course	kursus akuntansi
accounting cycle	siklus akuntansi
accounting department	departemen akuntansi
accounting discipline	disiplin akuntansi
accounting doctrine	doktrin akuntansi
accounting entry	kesatuan akunting
accounting equation	persamaan akuntansi
accounting features	aneka kemampuan akuntansi
accounting function	fungsi akuntansi
accounting information	informasi akuntansi
accounting instruction	instruksi akuntansi
accounting management	akuntansi manajemen
accounting manager	manager akuntansi
accounting method	metode akuntansi
accounting or finance	akuntansi atau keuangan
accounting period	periode akuntansi
accounting principle	akuntansi dasar
Accounting Principle Board	Badan Penentu Prinsip-Prinsip Akuntansi
accounting principles	prinsip-prinsip akunting
accounting procedure	prosedur akuntansi
accounting process	proses akuntansi
accounting processes	proses akuntansi
accounting ratio	nisbah akunting
accounting report	laporan akunting
accounting representation	keadaan akuntansi
Accounting Research Bulletin	Buletin Riset Akuntansi
accounting responsibility	pertanggungjawaban akuntansi
accounting services	jasa akuntansi
accounting system	sistem akuntansi
accounting-terminology bulletin	buletin terminologi akuntansi
accounting transaction	transaksi akuntansi
account number	nomor rekening
account payable	hutang dagang
account payable ledger	buku besar utang
account receivable	piutang dagang
account receivable acquisition	pemerolehan piutang
account receivable financing	pembiayaan piutang
account receivables	piutang dagang
account-receivable-subsidiary ledger	buku tambahan piutang
account relationship	hubungan akun
accounts payable	hutang dagang
account transfer	pindah akun
ac coupled amplifier	penguat tergandeng arus rangga
accoustical resonance	talunan bunyi
accoutrements	perlengkapan prajurit
accredit	mengakui
accreditation	akreditasi
accredited	mengakui
accrediting	dalam proses mengakui
accretion	pertambahan
accretion disk	cakram imbuhan
accretion of discount	tambahan potongan
accrual	accrual
accrual adjustment	accrual adjustment
accrual basis	dasar akrual
accruals	pos akanan
accrual system	sistem akanan
accrue	mengakui
accrued	mengakui
accrued asset	harta berakumulasi
accrued assets	harta akanan
accrued charges	utang belum dibayar
accrued expense	biaya yang akan dibayar
accrued expenses	biaya yang diakui
accrued income	pendapatan akanan
accrued interest	bunga yang akan diterima
accrued liabilities	kewajiban akanan
accrued revenue	pendapatan yg akan diterima
accrued salaries	gaji yang akan dibayar
accrued saufies	gaji belum dibayar
accruer devidend	dividen berakumulasi
accruing	bertambah
acculturate	berakulturasi
acculturated	berakulturasi
acculturating	berakulturasi
acculturation	proses pembudayaan
accumulate	menghimpunkan
accumulated	mengumpulkan
accumulated depletion	akumulasi deplesi
accumulated depreciation	akumulasi penyusutan
accumulated dose	dosis akumulatif
accumulated reserve	cadangan penyusutan
accumulater	accumulater
accumulater glass	kaca-aki
accumulater jar	kaca-aki
accumulating	mengumpulkan
accumulating basin	waduk
accumulation	akumulasi
accumulation depreciation	penyusutan akumulasi
accumulation of capital	akumulasi modal
accumulation of heat	penimbunan kalor
accumulation storage	gudang penampung
accumulative	secara akumulatip
accumulatively	secara akumulatif
accumulator	aki/penghimpun
accumulator acid	asam aki
accumulator battery	baterai penghimpun
accumulator-box	kotak aki
accumulatorcan	bak aki
accumulator can	bak aki
accumulator filling	pengisian aki
accumulator glas	kaca-aki
accumulator glass	kaca-aki
accumulator-grid	kisi-aki
accumulator grid plate	kisi percepatan
accumulator insulator	isolator aki
accumulator jar	piala aki
accumulatorjar	bak aki
accumulator locomotive	lokomotip aki
accumulator plate	pelat aki
accumulator rectifier	pesawat pengisi aki
accumulator regulating switch	sakelar akumulator
accumulator regulator	regulator akumulasi
accuracy	ketelitian
accurate	akurat
accurate editing	pengeditan seksama
accurately	dengan teliti
accurateness	ketelitian
accurate to tenths	sampai per sepuluhan
accuration	ketelitian
accured income	pendapatan akanan
accursed	terkutuk
accusation	tuduhan
accusational	bersifat tuduhan
accusationally	dengan bersifat tuduhan
accusation document	surat tuduhan
accusation referring to the politic or religion affair	penuntutan perkara berlatar belakang politic atau
accusation to the escaper	dakwaan terhadap terdakwa yang melarikan diri
accusative	bersifat menuduh
accusative case	kasus akusatif
accusatove	kasus keempat
accuse	menuduh
accused	menuduh
accuser	penuduh
accusing	menuduh
accustom	membiasakan
accustomed	biasa
accustomed to	terbiasa
accustoming	membiasakan
ace	as, jago, ahli, kartu, terpandai
aceesary	barang tambahan
ace in the hole	senjata ampuh
AC engineering	teknik arus bolak-balik
acentric factor	faktor asentrik
acerbity	rasa masam
a certain person	seseorang
acessibility	hal yang dapat dicapai
acessible	dapat diterima
acession	kenaikan takhta
acetamide	asetamid
acetate	asam cuka
acetic	kecut
acetic acid	asam cuka
acetic solution	larutan asam cuka
acetone	aseton
acetonic	aseton
acetous	asam
acetous reaction	reaksi asam
acetous salt	garam asam cuka
acetyl	acetyl
acetyl chloride	asetil-khlorid
acetylene	gas karbit
acetylene lamp	lampu asetilen
acetylene lighting	penerangan asetelin
acetylene oxygenium burner	pembakar potong asetilen zatasam
AC field	medan arus bolak-balik
a chain smoker	perokok berat
a change for the better	perubahan membaik
a change for the worse	perubahan memburuk
ache	nyeri
ached	rindu akan
ached for	rindu akan
achievable	terjangkau
achieve	mencapai
achieved	mencapai
achieved role	peranan yang dicapai
achievement	prestasi
achievement test	tes prestasi
achieving	menuju keberhasilan
achieving outstanding result	menjadi sangat berhasil
aching	sakit-sakitan
aching wish	keinginan yang sungguh-sungguh
a chip of the old block	turunan seperti orangtua-nya
a chit of a girl	wanita yang berbadan kecil
achormaticity	akromatisitas
achormatic point	titik akromatik
a christmas box	hadiah Natal
achromate	akromat
achromatic	takbuyar warna
achromatic color	warna akromatik
achromatic colour	warna akromatik
achromatic combination	kombinasi akromatik
achromatic condenser	penjajar berkas akromatik
achromatic doublet	kembar akromatik
achromatic fringe	rumbai akromatik
achromatic fringes	rumbai akromatik
achromatic indicator	penunjuk akromatik
achromatic lens	kanta akromatik
achromatic lens system	sistem kanta takbuyar-warna
achromatic locus	lokus
achromatic stimulus	rangsangan akromatik
achromic	akromik
achy	sakit
acid	asam
acid bath	penangas asam
acid carbolic	asam karbol
acid carbonic	asam karbon
acid chloric	asam klor
acid chromic	asam khrom
acid concentrated	asam pekat
acid contents	kadar asam
acid density	kerapatan asam
acid diluted	asam yang diencerkan
acid diluted sulphuric	asam belerang yang diencerkan
acide	isi aki
acid ferric	asam besi
acid hydrochloric	asam belerang
acidiferous	mengandung asam
acidified	mengasamkan
acidify	mengasamkan
acidifying	mengasamkan
acidimeter	pengukur asam acidimeter
acid inorganic	asam anorganik
acidity	kadar keasaman
acidly	dengan kecut
acid manganic	asam mangaan
acid mineral	asam mineral
acid nitrit	asam sendawa
acidproof	kalis asam
acid proof	tahan asam
acid pump	pompa asam
acid ratio test	rasio paling lancar
acid soldering	asam patri
acid solution of	larutan asam
acid stamping	asam stempel
acid string saw	gergaji dawai asam
acid strong	asam pekat
acid sulphuric	asam garam
acid syphon	sipon asam
